feature,sentiment
 allgemeingültigerem ,1
 allgemeingültigeren ,1
 allgemeingültigerer ,1
 allgemeingültigeres ,1
 allgemeingültiges ,1
 allgemeingültigst ,1
 allgemeingültigste ,1
 allgemeingültigstem ,1
 allgemeingültigsten ,1
 allgemeingültigster ,1
 allgemeingültigstes ,1
 allheilmittel ,1
 allianz ,1
 alliierte ,1
 allmächtig ,1
 allmächtige ,1
 allumfassend ,1
 allumfassende ,1
 allumfassendem ,1
 allumfassenden ,1
 allumfassender ,1
 allumfassendere ,1
 allumfassenderem ,1
 allumfassenderen ,1
 allumfassenderer ,1
 allumfassenderes ,1
 allumfassendes ,1
 allumfassendst ,1
 allumfassendste ,1
 allumfassendstem ,1
 allumfassendsten ,1
 allumfassendster ,1
 allumfassendstes ,1
 almosen ,-1
 almosenempfänger ,-1
 almosenempfängerin ,-1
 alptraum ,-1
 alpträume ,-1
 alpträumen ,-1
 alptraumes ,-1
 alptraums ,-1
 alt ,-1
 altarraum ,1
 altbaumodernisierung ,1
 altbausanierung ,1
 alte ,-1
 altehrwürdig ,1
 alteingeführt ,1
 altem ,-1
 alten ,-1
 alter ,-1
 älter ,-1
 ältere ,-1
 älterem ,-1
 älteren ,-1
 älterer ,-1
 älteres ,-1
 altern ,-1
 alterskachexie ,-1
 altersschwach ,-1
 altersschwäche ,-1
 altertümlich ,-1
 alterung ,-1
 alterungsbeständigkeit ,1
 altes ,-1
 ältest ,-1
 älteste ,-1
 ältestem ,-1
 ältesten ,-1
 ältester ,-1
 ältestes ,-1
 altfränkisch ,1
 althergebracht ,1
 altherkömmlich ,1
 altlast ,-1
 altmodisch ,-1
 altmodische ,-1
 altmodischem ,-1
 altmodischen ,-1
 altmodischer ,-1
 altmodischere ,-1
 altmodischerem ,-1
 altmodischeren ,-1
 altmodischerer ,-1
 altmodischeres ,-1
 altmodisches ,-1
 altmodischst ,-1
 altmodischste ,-1
 altmodischstem ,-1
 altmodischsten ,-1
 altmodischster ,-1
 altmodischstes ,-1
 altruist ,1
 altruistin ,1
 altruistisch ,1
 altstoff ,-1
 altüberliefert ,1
 altweibergeschwätz ,-1
 amateur ,-1
 amateure ,-1
 amateuren ,-1
 amateurhaft ,-1
 amateurhafte ,-1
 amateurhaftem ,-1
 amateurhaften ,-1
 amateurhafter ,-1
 amateurhaftere ,-1
 amateurhafterem ,-1
 amateurhafteren ,-1
 amateurhafterer ,-1
 amateurhafteres ,-1
 amateurhaftes ,-1
 amateurhaftest ,-1
 amateurhafteste ,-1
 amateurhaftestem ,-1
 amateurhaftesten ,-1
 amateurhaftester ,-1
 amateurhaftestes ,-1
 amateurs ,-1
 ambig ,-1
 ambiguität ,-1
 ambitioniert ,1
 ambitiös ,1
 ambivalent ,-1
 ambivalente ,-1
 ambivalentem ,-1
 ambivalenten ,-1
 ambivalenter ,-1
 ambivalentere ,-1
 ambivalenterem ,-1
 ambivalenteren ,-1
 ambivalenterer ,-1
 ambivalenteres ,-1
 ambivalentes ,-1
 ambivalentest ,-1
 ambivalenteste ,-1
 ambivalentestem ,-1
 ambivalentesten ,-1
 ambivalentester ,-1
 ambivalentestes ,-1
 ambivalenz ,-1
 ambivalenzen ,-1
 amoklauf ,-1
 amtsbefugnis ,1
 amulett ,1
 amüsant ,1
 amüsement ,1
 amüsieren ,1
 amüsierte ,1
 anabol ,1
 analphabet ,-1
 analphabetin ,-1
 anämisch ,-1
 anarchie ,-1
 anarchisch ,-1
 anarchismus ,-1
 anarchist ,-1
 anarchistin ,-1
 anarchistisch ,-1
 anbeten ,1
 anbeter ,1
 anbetung ,1
 anbetungswürdig ,1
 anbieten ,1
 anbruch ,-1
 anbrüllen ,-1
 andacht ,1
 andächtig ,1
 andauern ,1
 andersdenkende ,-1
 anderweitig ,-1
 andeuten ,-1
 andeutend ,-1
 andeutung ,-1
 andrang ,1
 andranges ,1
 andrangs ,1
 androh ,-1
 androhe ,-1
 androhen ,-1
 androhest ,-1
 androhet ,-1
 androhst ,-1
 androht ,-1
 androhte ,-1
 androhten ,-1
 androhtest ,-1
 androhtet ,-1
 androhung ,-1
 androhungen ,-1
 aneinanderhängen ,1
 anekeln ,-1
 anekelnd ,-1
 anempfehlen ,1
 anerkannt ,1
 anerkannte ,1
 anerkanntem ,1
 anerkannten ,1
 anerkannter ,1
 anerkanntere ,1
 anerkannterem ,1
 anerkannteren ,1
 anerkannterer ,1
 anerkannteres ,1
 anerkanntermaßen ,1
 anerkanntes ,1
 anerkanntest ,1
 anerkannteste ,1
 anerkanntestem ,1
 anerkanntesten ,1
 anerkanntester ,1
 anerkanntestes ,1
 anerkennen ,1
 anerkennend ,1
 anerkennenswert ,1
 anerkennenswerte ,1
